pwc_task_label,pwc_area_label,record_count,task_total_records,area_total_records
JPEG Artifact Correction,Computer Vision,7,18,54472
State Estimation,Sequential,7,1067,6593
High-Level Synthesis,Graphs,7,96,12318
Dialogue State Tracking,Sequential,7,287,6593
Split and Rephrase,General,7,17,114234
Relation Classification,Computer Vision,7,439,54472
World Knowledge,Sequential,7,809,6593
Univariate Time Series Forecasting,Computer Vision,7,36,54472
One-class classifier,Computer Vision,7,82,54472
3D Human Pose Estimation,Sequential,7,664,6593
Retinal OCT Disease Classification,General,7,12,114234
Text-Independent Speaker Verification,Computer Vision,7,70,54472
Expressive Speech Synthesis,General,7,47,114234
Universal Segmentation,Computer Vision,7,32,54472
Sensor Fusion,Sequential,7,508,6593
Philosophy,Reinforcement Learning,7,753,6988
Resynthesis,Computer Vision,7,51,54472
Video-Based Person Re-Identification,Natural Language Processing,7,117,40996
Text Categorization,Computer Vision,7,246,54472
Multimodal Sentiment Analysis,Sequential,7,200,6593
Speaker Recognition,Sequential,7,434,6593
Hand Segmentation,Computer Vision,7,36,54472
Breast Tumour Classification,Computer Vision,7,13,54472
Few-Shot 3D Point Cloud Classification,Computer Vision,7,31,54472
Nuclear Segmentation,Computer Vision,7,33,54472
Human Part Segmentation,General,7,18,114234
Nuclear Segmentation,General,7,33,114234
Emotion Recognition in Conversation,Computer Vision,7,139,54472
Seizure Detection,Sequential,7,175,6593
Multimodal Machine Translation,Computer Vision,7,105,54472
Game of Chess,Reinforcement Learning,7,24,6988
Montezuma's Revenge,Computer Vision,7,60,54472
Sparse Representation-based Classification,General,7,49,114234
Word Similarity,Computer Vision,7,374,54472
Knowledge Base Completion,Natural Language Processing,7,154,40996
Visual Speech Recognition,Sequential,7,182,6593
Monocular Visual Odometry,General,7,71,114234
Traffic Classification,Computer Vision,7,110,54472
Food Recognition,Computer Vision,7,48,54472
Image-Based Localization,General,7,62,114234
Scene Recognition,Graphs,7,207,12318
Language Acquisition,Computer Vision,7,519,54472
document-image-classification,General,7,32,114234
Audio-Visual Speech Recognition,Computer Vision,7,100,54472
Image Similarity Search,General,7,18,114234
Collaborative Filtering,Sequential,7,1306,6593
Job Shop Scheduling,Reinforcement Learning,7,92,6988
Motion Estimation,Sequential,7,740,6593
Multiple Instance Learning,Sequential,7,743,6593
Ad-Hoc Information Retrieval,Natural Language Processing,7,41,40996
3D Reconstruction,Sequential,7,2316,6593
Handwritten Digit Recognition,Computer Vision,7,107,54472
Multiview Learning,General,7,41,114234
Word Sense Induction,Natural Language Processing,7,107,40996
Word Alignment,Computer Vision,7,545,54472
Clustering Ensemble,General,7,25,114234
Causal Discovery,Reinforcement Learning,7,741,6988
Weakly-supervised instance segmentation,Computer Vision,7,39,54472
Face Presentation Attack Detection,Computer Vision,7,70,54472
Sentence-Embedding,Sequential,7,373,6593
Multi-Frame Super-Resolution,Computer Vision,7,34,54472
Cyber Attack Detection,General,7,41,114234
Left Ventricle Segmentation,General,7,25,114234
Speaker Separation,General,7,58,114234
Type prediction,Computer Vision,7,96,54472
Audio inpainting,Computer Vision,7,19,54472
Data Poisoning,Graphs,7,490,12318
Human Interaction Recognition,General,7,22,114234
3D Object Retrieval,Computer Vision,7,28,54472
Sokoban,General,7,61,114234
Heuristic Search,Computer Vision,7,260,54472
Miscellaneous,Computer Vision,7,93,54472
News Recommendation,Sequential,7,193,6593
Adversarial Attack Detection,General,7,37,114234
Heart Segmentation,General,7,30,114234
Math Word Problem Solving,Sequential,7,106,6593
Morphological Analysis,Sequential,7,452,6593
Medical Diagnosis,Sequential,7,713,6593
global-optimization,Sequential,7,657,6593
Stock Prediction,Computer Vision,7,102,54472
Topic Classification,Computer Vision,7,180,54472
Referring expression generation,General,7,84,114234
Native Language Identification,General,7,83,114234
Morphological Inflection,Sequential,7,133,6593
Spelling Correction,Sequential,7,192,6593
3D Shape Modeling,General,7,28,114234
Music Information Retrieval,Sequential,7,255,6593
Medical Named Entity Recognition,General,7,28,114234
Medical Named Entity Recognition,Natural Language Processing,7,28,40996
Art Analysis,General,7,42,114234
Fine-Grained Action Detection,General,7,14,114234
Gaze Prediction,Computer Vision,7,55,54472
Action Quality Assessment,Computer Vision,7,52,54472
3D Face Modelling,Computer Vision,7,31,54472
Network Embedding,Natural Language Processing,7,402,40996
Minecraft,Reinforcement Learning,7,235,6988
Image Super-Resolution,Sequential,7,1587,6593
Video Super-Resolution,Sequential,7,281,6593
One-shot visual object segmentation,General,7,41,114234
Atrial Fibrillation Detection,Computer Vision,7,43,54472
Open-Domain Dialog,Natural Language Processing,7,57,40996
Monocular 3D Human Pose Estimation,Graphs,7,101,12318
Instance Segmentation,Sequential,7,2255,6593
Passage Reranking,General,7,23,114234
Game of Go,Computer Vision,7,62,54472
Self-Driving Cars,Sequential,7,514,6593
Conversational Response Generation,Natural Language Processing,7,21,40996
Extreme Multi-Label Classification,Natural Language Processing,7,75,40996
Multi-hop Question Answering,Graphs,7,201,12318
Multilingual Named Entity Recognition,General,7,37,114234
Hybrid Machine Learning,Computer Vision,7,103,54472
Unsupervised Text Style Transfer,General,7,38,114234
coreference-resolution,Computer Vision,7,584,54472
Stance Detection,Computer Vision,7,340,54472
Fact Checking,Sequential,7,658,6593
Opinion Mining,Computer Vision,7,629,54472
Band Gap,Graphs,7,60,12318
Readmission Prediction,Natural Language Processing,7,38,40996
Network Intrusion Detection,Sequential,7,261,6593
Knowledge Tracing,Sequential,7,214,6593
Grammatical Error Detection,Natural Language Processing,7,100,40996
Metal Artifact Reduction,General,7,48,114234
Metal Artifact Reduction,Computer Vision,7,48,54472
text-to-speech,Reinforcement Learning,7,1409,6988
Text to Speech,Reinforcement Learning,7,1415,6988
Video Saliency Prediction,General,7,29,114234
Video Saliency Prediction,Computer Vision,7,29,54472
Heartbeat Classification,General,7,28,114234
Melanoma Diagnosis,General,7,26,114234
Point Cloud Super Resolution,Computer Vision,7,16,54472
Hierarchical Multi-label Classification,Natural Language Processing,7,47,40996
Stock Price Prediction,Graphs,7,137,12318
Metric Learning,Reinforcement Learning,7,1645,6988
Financial Analysis,Sequential,7,93,6593
Diabetic Retinopathy Grading,Computer Vision,7,44,54472
Line Art Colorization,Computer Vision,7,12,54472
Phrase Grounding,Natural Language Processing,7,88,40996
Electron Tomography,General,7,47,114234
Electron Tomography,Computer Vision,7,47,54472
AMR-to-Text Generation,Natural Language Processing,7,35,40996
Prognosis,Sequential,7,899,6593
Visual Grounding,Sequential,7,563,6593
Inverse-Tone-Mapping,Computer Vision,7,37,54472
Asset Management,Computer Vision,7,87,54472
Distance regression,General,7,19,114234
Entity Embeddings,Computer Vision,7,150,54472
Music Style Transfer,General,7,13,114234
Automatic Sleep Stage Classification,General,7,25,114234
Music Transcription,Computer Vision,7,96,54472
Traveling Salesman Problem,Computer Vision,7,253,54472
Audio Classification,Sequential,7,359,6593
automatic short answer grading,Natural Language Processing,7,27,40996
Image Retrieval,Reinforcement Learning,7,2231,6988
3D Multi-Person Pose Estimation,General,7,62,114234
Negation Detection,Natural Language Processing,7,54,40996
Weakly-supervised Anomaly Detection,Computer Vision,7,32,54472
Automated Theorem Proving,Graphs,7,287,12318
Automatic Modulation Recognition,General,7,19,114234
Vocal Bursts Intensity Prediction,Reinforcement Learning,7,2608,6988
CoLA,Graphs,7,78,12318
Geometric Matching,General,7,45,114234
Citation Recommendation,Natural Language Processing,7,55,40996
Pose Prediction,Graphs,7,163,12318
Mutual Information Estimation,Graphs,7,91,12318
Face Alignment,Natural Language Processing,7,306,40996
Malware Classification,Computer Vision,7,145,54472
Abstract generation,General,7,16,114234
Video Prediction,Graphs,7,392,12318
STS-B,General,7,16,114234
Science Question Answering,General,7,23,114234
Fact Verification,Graphs,7,211,12318
Low Resource NMT,General,7,33,114234
Algorithmic Trading,Computer Vision,7,95,54472
Citation Prediction,General,7,22,114234
Key Information Extraction,Computer Vision,7,73,54472
One-Shot Learning,Graphs,7,303,12318
Playing the Game of 2048,Natural Language Processing,7,57,40996
Sentence Summarization,Natural Language Processing,7,43,40996
Cross-Lingual Information Retrieval,Natural Language Processing,7,67,40996
Goal-Oriented Dialog,General,7,54,114234
Multi-target regression,General,7,35,114234
Task 2,Reinforcement Learning,7,569,6988
Table Retrieval,Natural Language Processing,7,27,40996
cross-domain few-shot learning,Graphs,7,74,12318
scientific discovery,Reinforcement Learning,7,463,6988
Image-to-Image Regression,Computer Vision,7,22,54472
Molecular Graph Generation,General,7,54,114234
XLM-R,Sequential,7,213,6593
Singing Voice Synthesis,Natural Language Processing,7,81,40996
Multi-target Domain Adaptation,General,7,39,114234
Heart Rate Variability,Computer Vision,7,131,54472
Face Swapping,Sequential,7,912,6593
Multi-Person Pose Estimation,Graphs,7,151,12318
Pseudo Label,Sequential,7,953,6593
Self-supervised Skeleton-based Action Recognition,General,7,29,114234
Preference Mapping,Computer Vision,7,11,54472
Humanoid Control,General,7,37,114234
Multi-agent Reinforcement Learning,Sequential,7,1710,6593
Nonhomogeneous Image Dehazing,Computer Vision,7,11,54472
Handwriting generation,Computer Vision,7,20,54472
Raindrop Removal,Computer Vision,7,22,54472
Music Style Transfer,Computer Vision,7,13,54472
JPEG Artifact Removal,General,7,20,114234
test driven development,Natural Language Processing,7,24,40996
Auxiliary Learning,Graphs,7,100,12318
Pedestrian Trajectory Prediction,Graphs,7,121,12318
SQL Parsing,Natural Language Processing,7,49,40996
Table-based Fact Verification,General,7,25,114234
Time Series Classification,Reinforcement Learning,7,695,6988
Word Alignment,Graphs,7,545,12318
3D Classification,Graphs,7,79,12318
Image-Variation,General,7,24,114234
AutoML,Graphs,7,640,12318
SMAC,Natural Language Processing,7,121,40996
SMAC+,Natural Language Processing,7,126,40996
Epidemiology,Reinforcement Learning,7,425,6988
News Generation,Natural Language Processing,7,29,40996
3D Object Classification,Natural Language Processing,7,93,40996
Rolling Shutter Correction,Graphs,7,216,12318
Multi-hop Question Answering,Computer Vision,7,201,54472
imbalanced classification,Graphs,7,211,12318
Surface Reconstruction,Graphs,7,621,12318
Dialogue Understanding,Natural Language Processing,7,77,40996
Motor Imagery,Sequential,7,252,6593
Starcraft,Sequential,7,309,6593
Speaker Recognition,Graphs,7,434,12318
Unsupervised Domain Adaptation,Reinforcement Learning,7,1942,6988
Structured Prediction,Graphs,7,636,12318
TAG,Reinforcement Learning,7,1080,6988
Image Outpainting,Natural Language Processing,7,47,40996
Survival Analysis,Graphs,7,472,12318
Stock Price Prediction,Computer Vision,7,137,54472
Meme Classification,Computer Vision,7,59,54472
Link Sign Prediction,Computer Vision,7,21,54472
Text based Person Retrieval,General,7,49,114234
Zero-shot Slot Filling,General,7,20,114234
Lung Disease Classification,General,7,24,114234
Polyphone disambiguation,Natural Language Processing,7,15,40996
Short Text Clustering,General,7,33,114234
Density Estimation,Reinforcement Learning,7,1384,6988
Music Auto-Tagging,General,7,22,114234
Question-Answer-Generation,Natural Language Processing,7,36,40996
UNET Segmentation,Computer Vision,7,24,54472
Robot Manipulation,Graphs,7,428,12318
Open Vocabulary Attribute Detection,Computer Vision,7,14,54472
Anatomical Landmark Detection,Computer Vision,7,29,54472
Image Steganography,Computer Vision,7,73,54472
Few-Shot Object Detection,Graphs,7,179,12318
Image-to-Text Retrieval,Graphs,7,58,12318
Re-Ranking,Reinforcement Learning,7,735,6988
Multi-View 3D Reconstruction,General,7,60,114234
CAD Reconstruction,General,7,23,114234
Vulnerability Detection,Computer Vision,7,216,54472
Explainable Artificial Intelligence (XAI),Graphs,7,1040,12318
Single-Source Domain Generalization,Computer Vision,7,48,54472
Indoor Localization,Graphs,7,250,12318
Zero-Shot Video Retrieval,General,7,40,114234
Cell Detection,Natural Language Processing,7,132,40996
Extracting Buildings In Remote Sensing Images,Computer Vision,7,14,54472
Stock Trend Prediction,Natural Language Processing,7,29,40996
Coherence Evaluation,General,7,28,114234
Systematic Generalization,Sequential,7,124,6593
Document-level Relation Extraction,Graphs,7,105,12318
Single Image Desnowing,General,7,10,114234
Explainable Artificial Intelligence (XAI),Sequential,7,1040,6593
Underwater Image Restoration,General,7,38,114234
Inverse-Tone-Mapping,General,7,37,114234
speaker-diarization,Sequential,7,310,6593
Speaker Diarization,Sequential,7,324,6593
Multi-Agent Path Finding,Reinforcement Learning,7,140,6988
3D Object Classification,Graphs,7,93,12318
Image Cropping,Natural Language Processing,7,83,40996
Semi-Supervised Semantic Segmentation,Natural Language Processing,7,190,40996
cross-domain few-shot learning,Computer Vision,7,74,54472
Feature Compression,Natural Language Processing,7,96,40996
Full-Reference Image Quality Assessment,General,7,41,114234
Depth Prediction,Graphs,7,421,12318
Probing Language Models,General,7,19,114234
Type prediction,Graphs,7,96,12318
